Larval_weight,Sex,Eyespan,Thorax,Wing
16,F,5.192,1.727,2.168
17,F,5.872,1.82,2.235
34,F,5.704,1.885,2.297
34,F,5.741,1.868,2.089
20,F,5.347,1.838,2.082
37,F,5.013,1.603,NA
20,F,5.681,1.922,2.195
25,F,5.649,1.729,2.191
22,F,5.744,1.823,2.245
24,M,8.421,1.991,2.443
20,M,8.617,1.988,2.408
20,M,8.634,2.015,2.435
17,M,8.944,2.024,2.53
21,M,8.543,1.782,2.378
51,M,8.658,2.009,2.444
17,M,8.809,2.043,2.401
32,M,8.408,1.865,2.378
49,M,8.865,2.113,2.503
51,M,8.016,1.739,2.297
27,F,4.012,1.243,1.543
24,F,4.993,1.64,1.997
43,M,8.402,1.627,2.334
22,M,8.114,1.886,2.332
27,M,8.421,1.82,2.319
15,M,7.544,1.821,2.267
18,F,4.79,1.596,2.024
23,F,5.847,1.94,2.462
50,F,5.756,1.828,2.295
39,F,6.017,1.808,2.243
23,F,5.748,1.789,2.185
26,M,9.182,2.037,2.417
27,M,8.495,2.049,2.557
16,M,7.266,1.529,2.141
20,M,8.032,1.854,2.41
32,M,7.943,1.813,2.375
17,F,5.655,1.795,2.293
22,F,5.855,1.758,2.349
25,F,5.642,1.866,2.332
38,F,6.033,1.945,2.311
16,F,5.398,1.847,2.218
20,F,5.877,1.817,2.462
19,F,5.89,1.861,2.432
27,F,5.175,1.677,2.212
20,F,5.868,1.892,2.361
18,F,5.117,1.5,2.026
14,F,5.21,1.589,2.232
25,M,6.747,1.686,2.027
45,M,7.171,1.804,2.209
36,M,7.874,1.792,2.339
25,M,7.545,1.702,2.376
